time,sexuallity,age,income,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,depressed,what_help_from_others,attempt_suicide,employment,job_title,edu_level,improve_yourself_how
5/22/2016 15:15:11,Straight,16,$0,Hispanic (of any race),Normal weight,Yes,No,Yes but I haven't,0,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,no,"Some high school, no diploma","Cosmetic survey, Joined a gym/go to the gym, Therapy, Other exercise"
5/22/2016 15:18:26,Straight,38,"$125,000 to $149,999",White non-Hispanic,Underweight,Yes,No,No,0,Yes,Yes,I used to want all of those things. Now it is too late for any of them to make a difference.,Yes,Employed for wages,Software Engineer,Bachelor’s degree,"Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
5/22/2016 15:32:28,Gay/Lesbian,20,$0,White non-Hispanic,Normal weight,No,Yes,No,2,No,No,I don't want help,Yes,A student,Student (comp sci),Bachelor’s degree,"Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups"
5/22/2016 15:54:14,Straight,24,"$10,000 to $19,999",White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,5,Yes,No,I don't want help,No,Employed for wages,production engineer,Master’s degree,"Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/22/2016 16:05:06,Straight,22,$0,White non-Hispanic,Overweight,No,Yes,Yes and I have,2,No,No,I don't want help,No,A student,none,"Some college, no degree",None
5/22/2016 16:14:04,Straight,18,$0,White non-Hispanic,Normal weight,Yes,Yes,No,5,Yes,Yes,wingman/wingwoman,No,A student,student,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise
5/22/2016 16:36:17,Straight,18,$0,White non-Hispanic,Underweight,Yes,No,No,12,Yes,Yes,I don't want help,No,A student,Student,"High school graduate, diploma or the equivalent (for example: GED)",None
5/22/2016 16:44:22,Straight,23,"$40,000 to $49,999",Asian,Normal weight,Yes,No,Yes but I haven't,4,No,No,"wingman/wingwoman, Set me up with a date, invite me to shit please",No,Employed for wages,Audit associate,Professional degree,"Therapy, join clubs/socual clubs/meet ups"
5/22/2016 17:04:12,Straight,23,"$20,000 to $29,999",White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,2,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Military,2nd lieutenant,Master’s degree,"Joined a gym/go to the gym, Therapy"
5/22/2016 17:10:01,Straight,21,"$20,000 to $29,999",Asian,Normal weight,Yes,No,No,9,No,Yes,"wingman/wingwoman, Set me up with a date",No,Employed for wages,Not Disclosing This,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups"
5/22/2016 17:44:58,Bisexual,24,$0,White and Native American,Obese,Yes,No,Yes but I haven't,3,Yes,Yes,"wingman/wingwoman, Set me up with a date",Yes,Out of work but not currently looking for work,None,"Some high school, no diploma","Other exercise, None"
5/22/2016 19:01:53,Straight,22,$0,White non-Hispanic,Underweight,Yes,No,No,0,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,n/a,"Some college, no degree",None
5/22/2016 19:04:07,Straight,17,"$1 to $10,000",White non-Hispanic,Overweight,Yes,Yes,No,10,No,Yes,I don't want help,No,A student,Waitress,"Some high school, no diploma","Other exercise, Losing weight"
5/22/2016 19:51:39,Bisexual,34,"$100,000 to $124,999",White non-Hispanic,Obese,No,No,Yes but I haven't,2,Yes,Yes,I don't want help,No,Employed for wages,Software Developer,"Some college, no degree","Joined a gym/go to the gym, Therapy"
5/22/2016 20:00:12,Bisexual,26,"$1 to $10,000","First two answers. Gender is androgyne, not 0; sexuality is asexual, not bi.",Normal weight,No,No,No,0,Yes,Yes,I don't want help,Yes,Self-employed,artist,Bachelor’s degree,"Other exercise, learn new skills"
5/22/2016 22:21:42,Straight,27,"$50,000 to $74,999",White non-Hispanic,Obese,Yes,No,No,1,Yes,Yes,I don't want help,No,A student,Auditor,Master’s degree,Other exercise
5/22/2016 22:24:26,Straight,19,$0,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,3,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,Unemployed,"Some high school, no diploma",None
5/23/2016 3:16:33,Straight,15,$0,White non-Hispanic,Underweight,Yes,No,Yes but I haven't,1,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,Why is this obligatory?,"Some high school, no diploma",None
5/23/2016 3:27:01,Straight,31,"$1 to $10,000",White non-Hispanic,Normal weight,No,No,No,0,No,Yes,I don't want help,No,Self-employed,Software developer,"Some college, no degree",Other exercise
5/23/2016 3:34:05,Straight,17,"$1 to $10,000",White non-Hispanic,Overweight,Yes,No,No,3,Yes,Yes,I don't want help,Yes,A student,High School Senior,"High school graduate, diploma or the equivalent (for example: GED)","Other exercise, join clubs/socual clubs/meet ups"
5/23/2016 4:12:06,Straight,22,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,0,Yes,Yes,wingman/wingwoman,No,A student,Student / parttime web developer,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise"
5/23/2016 5:50:18,Straight,21,$0,Asian,Underweight,No,No,No,1,Yes,No,I don't want help,No,A homemaker,None,"Some college, no degree",None
5/23/2016 5:50:29,Bisexual,19,$0,White non-Hispanic,Normal weight,Yes,No,No,1,Yes,Yes,I don't want help,Yes,Out of work but not currently looking for work,none,"Some high school, no diploma",Therapy
